,sample1.mapped.sorted.bam_mean,sample1.mapped.sorted.bam_var
k141_3737,9.546154859813084,14.187366633221242
k141_2400,27.84823134387352,127.59910762689624
k141_3741,11.794298934811197,63.2308471939918
k141_889,10.668638920047094,15.34326967424444
k141_2407,12.24307202272304,20.51701578512692
k141_5290,6.404936962119336,8.255578693600846
k141_2419,17.33015184397163,54.09988161108596
k141_3757,11.785114503974095,33.099546734736855
k141_3758,9.948516694129763,13.781773132207162
k141_2428,4.20505575810042,2.7279390295658548
k141_5308,24.888465284552844,98.31829948377289
k141_5310,6.11882443298969,7.594913749070038
k141_915,3.3197346617612156,3.0231125114188564
k141_5313,6.095525858549034,2.790011766336184
k141_3784,34.92109952533547,131.64609637552215
k141_918,12.705181827152092,28.876849533251885
k141_5317,10.128527976248575,14.386941966611944
k141_2458,3.008036159334126,2.259755331063609
k141_5318,9.181488715459297,11.806507888083189
k141_936,22.28842607565012,91.86954484342952
k141_3800,6.806126389548694,8.712122233484353
k141_2465,16.470328763122733,36.24225748380714
k141_939,9.098064783644302,10.076143572227018
k141_943,9.194142560666425,15.891333776705103
k141_2475,3.7918652036199094,2.1520100272994687
k141_5340,20.060663676932748,74.1940055500792
k141_3811,22.92255692325968,125.02727307839929
k141_5343,2.812302358803987,0.9373672035628744
k141_2478,9.91529829803679,13.240012780541685
k141_3822,3.8901415789473686,2.5491231405817167
k141_2492,9.692618173076923,13.818080360894738
k141_5359,11.433449430818198,15.467448254569533
k141_986,4.581679226830516,2.767661693968527
k141_2494,14.5785364178381,20.65925804668455
k141_3856,17.66375561842764,49.8085754395464
k141_2506,11.51875279123414,22.115864013428425
k141_1005,4.067701208005718,3.4705529897082625
k141_3888,26.950128764845605,99.5161283548577
k141_5413,20.592444411226356,62.4757550803534
k141_2523,3.7383952538536165,1.9303819964538889
k141_5424,5.71312475409836,8.705661239147961
k141_3907,6.856318411214953,10.597353381518037
k141_1018,16.24611538860986,27.835670962077877
k141_5435,4.654793277763528,2.3666009956064915
k141_3920,83.40773014475272,578.3950931416248
k141_5437,39.817813660565726,136.84701416111807
k141_3921,62.62851053172634,519.5422533737146
k141_1035,2.712804742945497,1.0543611766557806
k141_3929,12.685455329471397,26.554794541000998
k141_2566,51.88727282651238,953.3029644154793
k141_1041,16.236483938343444,37.74228247465199
k141_3935,6.699648514623727,7.866414732949748
k141_5468,4.6846253846153845,4.197465621301774
k141_5471,32.68227047904192,122.40915638724047
k141_2568,13.427495312751986,19.560959430293444
k141_2575,31.157079906673708,107.19386343251402
k141_5496,10.291394074353176,13.19066422601113
k141_2579,5.472407355066892,5.178665286057896
k141_1090,19.00336711288292,42.30969239324252
k141_2582,24.224396966745044,91.18983516164403
k141_1092,25.75978478886456,112.87442571405944
k141_3981,18.796813652968037,51.07211546068681
k141_5527,5.621210889547813,6.1285746067894245
k141_3986,7.643630812544547,9.054757260350874
k141_1115,4.695623409415121,6.325868075940017
k141_1125,3.463458275862069,1.734191212841855
k141_3994,8.09118923052862,8.062231224366878
k141_2609,11.603477086919627,14.215786559742284
k141_5556,10.632096167800453,16.289252586679417
k141_5559,11.949131184088806,12.402139199930513
k141_2625,10.91644273591017,15.847701528567747
k141_1157,10.643413734312825,20.626751766291534
k141_2635,24.83771114942529,68.27803689919408
k141_1162,20.54032587697423,44.97905794677204
k141_5578,5.264035356576862,4.721742766393493
